"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","feedback","event","resp","targ"
"31997","key"," "," ","16.689754825247785","735.5","431.5","psychophysics","0","32011","0.0-0.0","2","","","",""
"20701","key"," "," ","16.681096774193545","735.5","250","psychophysics","1","52715","0.0-1.0-0.0","2","0","trial","161","155"
"19727","key"," "," ","16.681133671742806","735.5","250","psychophysics","2","72443","0.0-1.0-0.1","2","0","trial","140","137"
"11107","key"," "," ","16.680962406015034","735.5","250","psychophysics","3","83558","0.0-1.0-0.2","2","0","trial","125","107"
"20439","key"," "," ","16.6811274509804","735.5","250","psychophysics","4","104000","0.0-1.0-0.3","2","0","trial","149","133"
"25354","key"," "," ","16.680999999999997","735.5","250","psychophysics","5","129367","0.0-1.0-0.4","2","0","trial","134","105"
"8806","key"," "," ","16.68110056925994","735.5","431.5","psychophysics","6","138177","0.0-2.0","2","","","",""
"10853","key"," "," ","16.732777777777773","735.5","250","psychophysics","7","149033","0.0-3.0-0.0","2","1","trial","137","130"
"19862","key"," "," ","16.681024349286293","735.5","250","psychophysics","8","168908","0.0-3.0-1.0","2","1","feedback","",""
"117891","key"," "," ","16.68105575997735","735.5","250","psychophysics","9","286805","0.0-3.0-0.1","2","1","trial","131","109"
"10022","key"," "," ","16.681033333333325","735.5","250","psychophysics","10","296831","0.0-3.0-1.1","2","1","feedback","",""
"14520","key"," "," ","16.68112643678163","735.5","250","psychophysics","11","311356","0.0-3.0-0.2","2","1","trial","134","117"
"38526","key"," "," ","16.680996102208766","735.5","250","psychophysics","12","349891","0.0-3.0-1.2","2","1","feedback","",""
"135543","key"," "," ","16.689272257111195","735.5","250","psychophysics","13","485436","0.0-3.0-0.3","2","1","trial","128","113"
"7249","key"," "," ","16.681105990783358","924","250","psychophysics","14","492686","0.0-3.0-1.3","2","1","feedback","",""
"49620","key"," "," ","16.68107635385134","924","250","psychophysics","15","542309","0.0-3.0-0.4","2","1","trial","152","105"
"22192","key"," "," ","16.681082706766894","924","250","psychophysics","16","564510","0.0-3.0-1.4","2","1","feedback","",""
"125175","key"," "," ","16.68327602292416","924","250","psychophysics","17","689695","0.0-3.0-0.5","2","1","trial","134","126"
"6226","key"," "," ","16.681129032258077","924","250","psychophysics","18","695923","0.0-3.0-1.5","2","1","feedback","",""
"10585","key"," "," ","16.681261829653064","924","250","psychophysics","19","706511","0.0-3.0-0.6","2","1","trial","123","150"
"11384","key"," "," ","16.681026392961993","924","250","psychophysics","20","717908","0.0-3.0-1.6","2","1","feedback","",""
"11962","key"," "," ","16.681059972106087","924","250","psychophysics","21","729879","0.0-3.0-0.7","2","1","trial","105","117"
"6754","key"," "," ","16.681138613861513","924","250","psychophysics","22","736640","0.0-3.0-1.7","2","1","feedback","",""
"7638","key"," "," ","16.681048034934335","924","250","psychophysics","23","744291","0.0-3.0-0.8","2","1","trial","111","120"
"5045","key"," "," ","16.680728476821052","924","250","psychophysics","24","749342","0.0-3.0-1.8","2","1","feedback","",""
"16662","key"," "," ","16.681062124248566","924","250","psychophysics","25","766006","0.0-3.0-0.9","2","1","trial","113","116"
"15958","key"," "," ","16.681256544502716","924","250","psychophysics","26","781967","0.0-3.0-1.9","2","1","feedback","",""
