"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","targ","trial_type","trial_index","time_elapsed","internal_node_id","resp","pid","sid"
"11832","key"," "," ","16.6661870604782","500","250","144","psychophysics","0","11867","0.0-0.0","161","adri","null"
"5942","key"," "," ","16.66617415730337","500","250","158","psychophysics","1","17814","0.0-1.0","169","adri","null"
"5932","key"," "," ","16.66620845070423","500","250","159","psychophysics","2","23750","0.0-2.0","175","adri","null"
"3340","key"," "," ","16.666255","500","250","154","psychophysics","3","27094","0.0-3.0","161","adri","null"
"6957","key"," "," ","16.666235576923075","500","250","175","psychophysics","4","34054","0.0-4.0","188","adri","null"
"6570","key"," "," ","16.666225888324878","500","250","138","psychophysics","5","40629","0.0-5.0","154","adri","null"
"5614","key"," "," ","16.666238095238093","500","250","135","psychophysics","6","46246","0.0-6.0","153","adri","null"
"14573","key"," "," ","16.666264604810994","500","250","189","psychophysics","7","60822","0.0-7.0","203","adri","null"
"11225","key"," "," ","16.666282317979192","500","250","124","psychophysics","8","72053","0.0-8.0","141","adri","null"
"5578","key"," "," ","16.666293413173612","500","250","164","psychophysics","9","77637","0.0-9.0","176","adri","null"
"3859","key"," "," ","16.666248927038644","500","250","147","psychophysics","10","81524","0.0-10.0","164","adri","null"
"4957","key"," "," ","16.666283783783786","500","250","192","psychophysics","11","86485","0.0-11.0","210","adri","null"
"1595","key"," "," ","16.66635789473688","500","250","145","psychophysics","12","88085","0.0-12.0","160","adri","null"
"3786","key"," "," ","16.666281938325987","500","250","162","psychophysics","13","91876","0.0-13.0","176","adri","null"
"2158","key"," "," ","16.666226562500015","500","250","157","psychophysics","14","94036","0.0-14.0","170","adri","null"
"2780","key"," "," ","16.666319277108414","500","250","170","psychophysics","15","96821","0.0-15.0","178","adri","null"
"3035","key"," "," ","16.66632417582422","500","250","145","psychophysics","16","99860","0.0-16.0","171","adri","null"
"2093","key"," "," ","16.66632799999998","500","250","137","psychophysics","17","101956","0.0-17.0","158","adri","null"
"2509","key"," "," ","16.666275167785294","500","250","182","psychophysics","18","104467","0.0-18.0","184","adri","null"
"1530","key"," "," ","16.666164835164825","500","250","151","psychophysics","19","106004","0.0-19.0","164","adri","null"
